year,month,day,hour,t2m
1982,1,1,0,266.6614669824219
1982,1,1,1,266.6372592773438
1982,1,1,2,266.5794278417969
1982,1,1,3,266.4975201171875
1982,1,1,4,266.29180154296876
1982,1,1,5,266.0722555664063
1982,1,1,6,265.86740953125
1982,1,1,7,265.67513693359376
1982,1,1,8,265.5211470703125
1982,1,1,9,265.3673361914063
1982,1,1,10,265.72065822265625
1982,1,1,11,265.4081799804688
1982,1,1,12,265.0859546875001
1982,1,1,13,264.6041740234375
1982,1,1,14,264.1441213085938
1982,1,1,15,263.74093629882816
1982,1,1,16,263.5252537890625
1982,1,1,17,263.33004853515627
1982,1,1,18,263.1984168359375
1982,1,1,19,263.13341286132817
1982,1,1,20,263.1773368164063
1982,1,1,21,263.13400712890626
1982,1,1,22,263.17544404296876
1982,1,1,23,263.24530251953126
1982,1,2,0,263.2471353515626
1982,1,2,1,263.3205141992188
1982,1,2,2,263.1687771972657
1982,1,2,3,263.2761193945313
1982,1,2,4,263.22801735351567
1982,1,2,5,263.23956652343753
1982,1,2,6,263.36499546875
1982,1,2,7,263.40075297851564
1982,1,2,8,263.47070259765627
1982,1,2,9,263.4988040429688
1982,1,2,10,263.7146734277344
1982,1,2,11,263.7321322460938
1982,1,2,12,263.74121851562506
1982,1,2,13,263.69449125
1982,1,2,14,263.6273848242188
1982,1,2,15,263.556132578125
1982,1,2,16,263.4673426757813
1982,1,2,17,263.37094550781256
1982,1,2,18,263.2822248828125
1982,1,2,19,263.13853597656254
1982,1,2,20,263.13140598632816
1982,1,2,21,263.12016787109377
1982,1,2,22,263.1985114257813
1982,1,2,23,263.21990101562506
1982,1,3,0,263.33621921875005
1982,1,3,1,263.4086885253907
1982,1,3,2,263.3873237011719
1982,1,3,3,263.49450376953126
1982,1,3,4,263.55128348632815
1982,1,3,5,263.6287239160157
1982,1,3,6,263.7729209179688
1982,1,3,7,263.8933297460938
1982,1,3,8,264.2025107714844
1982,1,3,9,264.71862710937506
1982,1,3,10,265.6392850976563
1982,1,3,11,266.0373436523438
1982,1,3,12,266.24344907226566
1982,1,3,13,266.5281981250001
