year,month,day,hour,t2m
1966,1,1,0,280.8571458398438
1966,1,1,1,280.0370702539063
1966,1,1,2,277.6004396191406
1966,1,1,3,276.6561226171875
1966,1,1,4,276.8169228125
1966,1,1,5,275.65830568359377
1966,1,1,6,275.7440960449219
1966,1,1,7,275.45551482421877
1966,1,1,8,274.59427697265625
1966,1,1,9,274.1040498535156
1966,1,1,10,272.8095184667969
1966,1,1,11,272.9710663769531
1966,1,1,12,272.8826087890625
1966,1,1,13,272.58845845703127
1966,1,1,14,271.8905394628906
1966,1,1,15,271.6759469140625
1966,1,1,16,271.81668421874997
1966,1,1,17,275.2673174707032
1966,1,1,18,275.255504453125
1966,1,1,19,275.90962920898437
1966,1,1,20,278.27904
1966,1,1,21,278.4392259570312
1966,1,1,22,278.6350858691406
1966,1,1,23,278.17776154296877
1966,1,2,0,278.78384869140626
1966,1,2,1,279.305030703125
1966,1,2,2,275.942961796875
1966,1,2,3,274.2327848242188
1966,1,2,4,273.7930493359375
1966,1,2,5,271.4775298339844
1966,1,2,6,271.19014407226564
1966,1,2,7,270.8732062890625
1966,1,2,8,270.16479892578127
1966,1,2,9,270.0094891210938
1966,1,2,10,269.2505507421875
1966,1,2,11,269.53472968750003
1966,1,2,12,269.4823838769532
1966,1,2,13,269.30889994140625
1966,1,2,14,268.82030342773436
1966,1,2,15,268.25371671875
1966,1,2,16,268.6263728027344
1966,1,2,17,274.8894463769531
1966,1,2,18,274.5552211328125
1966,1,2,19,274.685195546875
1966,1,2,20,277.2393713574219
1966,1,2,21,277.8057499609375
1966,1,2,22,277.8492184667969
1966,1,2,23,278.0105512011719
1966,1,3,0,278.52294383789064
1966,1,3,1,280.1064268359375
1966,1,3,2,276.18583499023435
1966,1,3,3,274.3578228515625
1966,1,3,4,274.54685746093753
1966,1,3,5,272.7913166015625
1966,1,3,6,272.48878390625003
1966,1,3,7,271.80252500000006
1966,1,3,8,271.028374609375
1966,1,3,9,271.07540484375005
1966,1,3,10,269.4475271875
1966,1,3,11,269.5176691015625
1966,1,3,12,269.3296791992188
1966,1,3,13,269.22399635742187
1966,1,3,14,268.8800611230469
1966,1,3,15,268.9878725292969
1966,1,3,16,269.40407646484374
1966,1,3,17,274.47846724609377
1966,1,3,18,274.59920091796874
1966,1,3,19,274.5400444335937
1966,1,3,20,276.7710441796875
1966,1,3,21,277.70459007812497
1966,1,3,22,278.2274794628906
1966,1,3,23,278.3666580175781
1966,1,4,0,278.5143997265625
1966,1,4,1,279.4446160546875
1966,1,4,2,275.6886907714844
1966,1,4,3,274.1435192773438
1966,1,4,4,274.4343248632813
1966,1,4,5,272.7121546484375
1966,1,4,6,272.30206701171875
1966,1,4,7,272.21128969726567
1966,1,4,8,270.70747938476563
1966,1,4,9,270.3283364648438
1966,1,4,10,270.2588482226563
1966,1,4,11,270.50981892578125
1966,1,4,12,270.6385117285156
1966,1,4,13,270.3662426757813
1966,1,4,14,269.7836262890625
1966,1,4,15,270.186407734375
1966,1,4,16,269.80982443359375
1966,1,4,17,275.44224515625
1966,1,4,18,275.53929140625
1966,1,4,19,275.6931666210937
1966,1,4,20,278.4881156835938
1966,1,4,21,278.7741558398438
1966,1,4,22,280.1141715527344
1966,1,4,23,280.5975110546875
1966,1,5,0,280.8363938574219
