year,month,day,hour,t2m
2009,1,1,0,298.93279415429686
2009,1,1,1,299.1712440546875
2009,1,1,2,299.3230102421875
2009,1,1,3,299.4895091679688
2009,1,1,4,299.44102691210935
2009,1,1,5,299.19305223046877
2009,1,1,6,298.79027347070314
2009,1,1,7,298.7173055703125
2009,1,1,8,298.96437313671873
2009,1,1,9,299.63620451171874
2009,1,1,10,298.3888198925781
2009,1,1,11,298.82609436328124
2009,1,1,12,299.27366819335936
2009,1,1,13,299.6220848066406
2009,1,1,14,299.8385087519531
2009,1,1,15,299.9299100800781
2009,1,1,16,300.0014994257813
2009,1,1,17,300.0942737148437
2009,1,1,18,299.7799326464844
2009,1,1,19,299.5617014335937
2009,1,1,20,299.2788732460938
2009,1,1,21,299.19759386132813
2009,1,1,22,299.50180803125
2009,1,1,23,299.1477611484375
2009,1,2,0,298.5813077460937
2009,1,2,1,298.43245307421876
2009,1,2,2,298.9492888027344
2009,1,2,3,299.41078884374997
2009,1,2,4,298.74930535351564
2009,1,2,5,299.12669574609373
2009,1,2,6,299.567095484375
2009,1,2,7,299.52410046875
2009,1,2,8,299.1905017578125
2009,1,2,9,298.5902847441406
2009,1,2,10,298.316324703125
2009,1,2,11,298.35784598828127
2009,1,2,12,298.5924368671875
2009,1,2,13,298.92121439062504
2009,1,2,14,299.06859640234376
2009,1,2,15,299.32787830859377
2009,1,2,16,299.5238154648437
2009,1,2,17,299.50985434375
2009,1,2,18,299.505988125
2009,1,2,19,299.4413406171875
2009,1,2,20,298.9264226484375
2009,1,2,21,298.5386762089844
2009,1,2,22,298.93885859765624
2009,1,2,23,298.9423948828125
2009,1,3,0,298.93165097265626
2009,1,3,1,299.0146453671875
2009,1,3,2,298.90704146875004
2009,1,3,3,298.48121601953125
2009,1,3,4,298.3523717246094
2009,1,3,5,298.3613254414063
2009,1,3,6,298.53749413476567
2009,1,3,7,298.618343453125
2009,1,3,8,298.3817678828125
2009,1,3,9,298.271760609375
2009,1,3,10,298.73879265625
2009,1,3,11,299.0335049941406
2009,1,3,12,299.08477684375
2009,1,3,13,298.745441234375
2009,1,3,14,298.59566494921876
2009,1,3,15,298.67340079492186
2009,1,3,16,298.78600150976564
2009,1,3,17,298.8357600703125
2009,1,3,18,299.17395527734374
2009,1,3,19,299.4933102402344
2009,1,3,20,299.51016925
2009,1,3,21,299.13221015429684
2009,1,3,22,299.4227463417969
2009,1,3,23,298.80085115624996
2009,1,4,0,298.73416600390624
2009,1,4,1,299.0342564414063
2009,1,4,2,298.9841209257812
2009,1,4,3,298.74809310156246
2009,1,4,4,298.5867111445312
2009,1,4,5,298.675376640625
2009,1,4,6,298.608809421875
2009,1,4,7,298.48441175976563
2009,1,4,8,298.521010125
2009,1,4,9,298.98675642773435
2009,1,4,10,298.8755764648438
2009,1,4,11,298.61108560546876
2009,1,4,12,298.54461349218747
2009,1,4,13,298.50830998242185
2009,1,4,14,298.6432847421875
2009,1,4,15,298.92222355078127
2009,1,4,16,299.0729039375
2009,1,4,17,299.05101357421876
2009,1,4,18,298.77528715625
2009,1,4,19,298.55427923046875
2009,1,4,20,298.44077627734373
2009,1,4,21,298.18062983789065
2009,1,4,22,298.41938022460937
2009,1,4,23,298.41248223828126
2009,1,5,0,298.2490974804688
2009,1,5,1,298.4830186894531
2009,1,5,2,298.53912458203126
2009,1,5,3,298.44506340039067
2009,1,5,4,298.51104027734374
2009,1,5,5,298.5887555351563
2009,1,5,6,298.6060141894531
2009,1,5,7,298.621382015625
2009,1,5,8,298.449526984375
2009,1,5,9,298.3103976445313
2009,1,5,10,298.64362217382813
2009,1,5,11,298.86506991406253
