year,month,day,hour,t2m
2005,1,1,0,289.10051150585946
2005,1,1,1,288.75271773242196
2005,1,1,2,288.3001743554688
2005,1,1,3,288.0270401757813
2005,1,1,4,287.9163502382813
2005,1,1,5,287.8877403144532
2005,1,1,6,287.4966460937501
2005,1,1,7,286.52919021093754
2005,1,1,8,286.4864472851563
2005,1,1,9,286.9116829375
2005,1,1,10,286.9143845136719
2005,1,1,11,287.0913457324219
2005,1,1,12,287.06058382812506
2005,1,1,13,286.693665171875
2005,1,1,14,287.3327185058595
2005,1,1,15,289.3182293125001
2005,1,1,16,290.2590279003907
2005,1,1,17,292.0242629257814
2005,1,1,18,292.3936960390626
2005,1,1,19,292.22198016796887
2005,1,1,20,292.7022328476564
2005,1,1,21,291.97359464062515
2005,1,1,22,291.67822033789076
2005,1,1,23,290.8285425781251
2005,1,2,0,290.1555928320313
2005,1,2,1,289.3172311660157
2005,1,2,2,289.0660658828126
2005,1,2,3,288.47006270703133
2005,1,2,4,288.2844210234376
2005,1,2,5,288.07589692578125
2005,1,2,6,287.22444056250004
2005,1,2,7,286.737380984375
2005,1,2,8,286.3502059882813
2005,1,2,9,286.0666410898438
2005,1,2,10,285.56426081640626
2005,1,2,11,285.6580380507813
2005,1,2,12,285.9575881640625
2005,1,2,13,285.7286239375
2005,1,2,14,286.6210945566407
2005,1,2,15,289.192507138672
2005,1,2,16,290.5223829804689
2005,1,2,17,292.0567558359376
2005,1,2,18,292.7593093945314
2005,1,2,19,293.0505699882814
2005,1,2,20,292.93360898046893
2005,1,2,21,292.4168772890627
2005,1,2,22,291.8669431347658
2005,1,2,23,291.959124796875
2005,1,3,0,290.06984040625
2005,1,3,1,289.209058265625
2005,1,3,2,288.5952920351564
2005,1,3,3,287.7527052421876
2005,1,3,4,287.59529494921884
2005,1,3,5,286.99870287890633
2005,1,3,6,285.8468471718751
2005,1,3,7,285.8841187695313
2005,1,3,8,285.8292485195313
2005,1,3,9,285.29097400781257
2005,1,3,10,285.5350067929688
2005,1,3,11,285.58593149609374
2005,1,3,12,285.868946640625
2005,1,3,13,286.46785893554693
2005,1,3,14,286.6941461757813
2005,1,3,15,288.9338423750001
2005,1,3,16,290.91343031640633
2005,1,3,17,291.48692392187513
2005,1,3,18,292.3415764296876
2005,1,3,19,292.59733210937515
2005,1,3,20,292.9089938046876
2005,1,3,21,292.585520919922
2005,1,3,22,292.08262430078133
2005,1,3,23,291.21897615624994
2005,1,4,0,290.0455644062499
2005,1,4,1,288.7536116562499
2005,1,4,2,287.50262309375
2005,1,4,3,286.7095552207031
2005,1,4,4,286.641002890625
2005,1,4,5,286.44477785351563
2005,1,4,6,286.1016265175781
2005,1,4,7,285.58152200390623
2005,1,4,8,285.63447672656247
2005,1,4,9,285.404121875
2005,1,4,10,284.68508585937496
2005,1,4,11,284.6681384277344
2005,1,4,12,284.6921142578125
2005,1,4,13,285.68830539843754
2005,1,4,14,285.6647810312501
2005,1,4,15,290.25614917578133
2005,1,4,16,293.09444517578135
2005,1,4,17,293.04483458789076
