year,month,day,hour,t2m
1962,1,1,0,257.55964594726566
1962,1,1,1,258.2320288378906
1962,1,1,2,259.1694485742188
1962,1,1,3,260.3432135351563
1962,1,1,4,260.4593850585938
1962,1,1,5,260.7343509472656
1962,1,1,6,260.80805517578125
1962,1,1,7,260.2283265625
1962,1,1,8,261.9044055273437
1962,1,1,9,261.77796142578126
1962,1,1,10,264.2328908886719
1962,1,1,11,265.47339955078127
1962,1,1,12,265.1926704101562
1962,1,1,13,264.72047650390624
1962,1,1,14,266.421626015625
1962,1,1,15,267.2213573339844
1962,1,1,16,266.98048423828124
1962,1,1,17,267.83049067382814
1962,1,1,18,267.89828065429685
1962,1,1,19,268.00977087890624
1962,1,1,20,267.184945390625
1962,1,1,21,267.0360188671875
1962,1,1,22,267.2720082617187
1962,1,1,23,267.36121645507814
1962,1,2,0,264.6903237304687
1962,1,2,1,264.85995072265627
1962,1,2,2,264.442351015625
1962,1,2,3,263.7449138769531
1962,1,2,4,263.33039017578125
1962,1,2,5,262.32155978515624
1962,1,2,6,261.78763124023436
1962,1,2,7,261.6282205859375
1962,1,2,8,260.936205390625
1962,1,2,9,260.90184265625
1962,1,2,10,259.1845779589844
1962,1,2,11,258.82272284179686
1962,1,2,12,258.6256345996093
1962,1,2,13,258.58876802734375
1962,1,2,14,258.31531001953124
1962,1,2,15,258.33898734375
1962,1,2,16,258.20831701171875
1962,1,2,17,258.0008745703125
1962,1,2,18,257.46820988281246
1962,1,2,19,257.3759480273437
1962,1,2,20,257.21254109375
1962,1,2,21,257.19614205078125
1962,1,2,22,257.1267931054688
1962,1,2,23,256.97935222656247
1962,1,3,0,256.6466310058594
1962,1,3,1,256.5615211816406
1962,1,3,2,255.2969665234375
1962,1,3,3,254.95286091308594
1962,1,3,4,254.5593201904297
1962,1,3,5,254.61050803222656
1962,1,3,6,254.53857550781248
1962,1,3,7,254.8150922314453
1962,1,3,8,255.2020014892578
1962,1,3,9,254.9451259033203
1962,1,3,10,255.40877875
1962,1,3,11,255.48173045898434
1962,1,3,12,255.82257552734373
1962,1,3,13,255.70520800048826
1962,1,3,14,255.3392827734375
1962,1,3,15,255.425146809082
1962,1,3,16,255.21743421142577
1962,1,3,17,255.04289495117186
1962,1,3,18,255.31195151123046
1962,1,3,19,255.11333323486326
1962,1,3,20,255.098256262207
1962,1,3,21,255.26242245117186
1962,1,3,22,256.5108034692383
1962,1,3,23,256.36616473632813
1962,1,4,0,256.00637812499997
1962,1,4,1,256.1183086450195
1962,1,4,2,255.25377928955078
1962,1,4,3,255.18217478515623
1962,1,4,4,254.6819980859375
1962,1,4,5,254.02406749999997
1962,1,4,6,254.19277803710935
1962,1,4,7,254.50754921875
1962,1,4,8,254.42030675781248
1962,1,4,9,254.35050171142578
1962,1,4,10,256.4959752832031
1962,1,4,11,256.43651616455077
1962,1,4,12,256.14806780029295
1962,1,4,13,255.81371085205078
1962,1,4,14,257.0213647973633
1962,1,4,15,256.8862460546875
1962,1,4,16,257.06850169189454
1962,1,4,17,256.3745714648437
1962,1,4,18,256.0826197265625
1962,1,4,19,255.89353159179686
1962,1,4,20,255.8395864160156
1962,1,4,21,255.3784577856445
1962,1,4,22,255.57147323242188
1962,1,4,23,255.35624330078124
1962,1,5,0,255.08011098632812
1962,1,5,1,254.7614535546875
1962,1,5,2,254.65544684570312
1962,1,5,3,254.31512264648438
1962,1,5,4,253.32072306640623
1962,1,5,5,252.81997688964844
1962,1,5,6,252.44390571777345
1962,1,5,7,252.04473358398437
1962,1,5,8,251.4647373046875
1962,1,5,9,251.16662060058593
1962,1,5,10,251.24517988769531
1962,1,5,11,251.23128063964845
1962,1,5,12,251.16420366210937
1962,1,5,13,250.89746755371092
1962,1,5,14,250.71984846191407
1962,1,5,15,250.3484641796875
1962,1,5,16,250.25013771972655
1962,1,5,17,250.2078461230469
1962,1,5,18,250.13953676757814
