Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.00782366906977236,1,0.120280075291272,0.21547793279595,0.285070702020641,0.355132938458215,0.32362142712361,0.0792022452559838
2,5.32294154135965e-38,1,0.0619582703331011,2.30454775568908e-10,1.95962480068253e-16,7.44663973960765e-32,3.1711609354079e-36,5.20440796885518e-57
3,2.2164311967586e-42,1,0.000202848848753959,0.101401949982348,7.56054612562917e-07,6.07932893631282e-31,1.4651809736272e-23,7.77604052293371e-27
4,5.39147695147047e-08,1,NaN,1.0110775976498e-06,1.91828993676318e-23,0.784638082658643,0.00219500087686996,1.43553072326134e-05
5,2.4235302457542e-14,1,0.00108339130526416,0.0650485631516662,0.0030612593551802,2.38259637732255e-21,2.33884255177964e-18,3.54550144236761e-13
6,2.35788013926652e-91,1,0.00012413062482928,6.09310458608309e-11,0.154139752038315,2.05057767856216e-106,1.13153463447116e-105,5.50564583265991e-120
7,1.46938803321331e-155,1,0.544733477052443,0.224020242384581,0.377007164600992,1.73035948326888e-121,2.65126405702992e-160,1.75453479095407e-192
8,8.63376900405772e-189,1,0.416010648508311,6.57022510097095e-08,4.21172241740594e-22,2.97876265849967e-216,2.66366817539784e-255,2.37211491897757e-292
9,1.2975014717787e-82,1,0.752419102128392,7.02646499602165e-15,1.86633768196209e-31,1.75364597809311e-47,7.42915419463666e-62,9.03883122241446e-74
10,1.08158181385031e-12,1,0.979865726541849,8.42884707809277e-05,0.04570750481053,0.959769929741369,0.0231922047314361,1.60179382161194e-06
11,9.30994770004097e-12,1,0.869649627093944,0.148462866377173,0.317412102903574,1.10394751155069e-09,2.65860733246621e-08,3.57629205374552e-05
12,2.29801800846e-45,1,0.339207956023312,0.347548011159037,0.167519167040425,1.57851886019425e-52,1.02751255501363e-49,1.4033929941889e-29
