City,Month,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99
AndoyaSpaceCenter,1,279.352869682812,278.133520611328,277.151732050781,268.559672952149,267.435654928711,264.934291016797
AndoyaSpaceCenter,2,279.14579974707,277.811287543945,276.936064609375,268.17951730957,266.689731884766,264.125709241211
AndoyaSpaceCenter,3,279.014977837695,278.017522290039,277.255096493164,269.656210511719,268.639365048828,266.759037745703
AndoyaSpaceCenter,4,280.780335141602,279.194389838867,278.512692998047,272.311819868164,271.295760805664,269.733868165039
AndoyaSpaceCenter,5,283.974003525781,282.109114162109,281.194966719727,275.544807990234,274.769067105469,273.529506104102
AndoyaSpaceCenter,6,287.745749588867,285.431036601562,284.331544814453,278.606548574219,277.867812080078,276.764885958984
AndoyaSpaceCenter,7,290.012537675586,288.122507856445,287.054093107422,281.573366047852,280.965424636719,280.039913603906
AndoyaSpaceCenter,8,289.966327973633,288.186570689453,287.234667222656,281.989582614258,281.362683617187,280.282866862891
AndoyaSpaceCenter,9,287.324044700195,285.786326240234,284.989982666016,279.080620791016,278.259978291016,276.712512005859
AndoyaSpaceCenter,10,284.059627508398,282.761942829102,282.078781486328,274.905094087891,274.014241675781,272.405731967188
AndoyaSpaceCenter,11,281.556315408203,280.308128066406,279.50992328125,271.983511323242,270.900823671875,269.120766111328
AndoyaSpaceCenter,12,280.191308601953,278.917151450195,278.082468623047,269.614119479492,268.345129957031,265.770375152344
