City,Month,t2m_6_1,t2m_6_5,t2m_6_10,t2m_6_90,t2m_6_95,t2m_6_99
AndoyaSpaceCenter,1,279.273758749186,278.086684506999,277.112285011068,268.584572633789,267.484809401856,264.95032125874
AndoyaSpaceCenter,2,279.075737346354,277.756617603353,276.8981603361,268.192155182292,266.706829666341,264.13690957015
AndoyaSpaceCenter,3,278.979698205599,277.967437382324,277.211070552409,269.660634586751,268.65345198112,266.797565452116
AndoyaSpaceCenter,4,280.703390779297,279.152415610352,278.480130415853,272.322576673991,271.306413990072,269.753715921712
AndoyaSpaceCenter,5,283.849128778939,282.055257680013,281.167738073893,275.558188735026,274.787332493652,273.556285162793
AndoyaSpaceCenter,6,287.636445326009,285.353477915039,284.308904574381,278.608136283366,277.872083019206,276.788643495768
AndoyaSpaceCenter,7,289.908322018522,288.055649719076,287.03333201888,281.574648076497,280.97052694987,280.059531737142
AndoyaSpaceCenter,8,289.853886366764,288.135380476888,287.212358046387,282.012357110514,281.388340466634,280.330685378353
AndoyaSpaceCenter,9,287.225113730957,285.759951501465,284.981505454915,279.106271577148,278.298078125814,276.740246051758
AndoyaSpaceCenter,10,284.015758083659,282.752368326335,282.071476594076,274.933925754557,274.039490221029,272.458040661361
AndoyaSpaceCenter,11,281.534283304362,280.28785571696,279.491517455241,272.006255021973,270.927632974447,269.152293554199
AndoyaSpaceCenter,12,280.134533403874,278.867349147461,278.045342506022,269.631992602865,268.380338760091,265.806432638053
