City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
AndoyaSpaceCenter,1940,289.395862572266,286.746833299805,285.887606667969,282.517748486328,282.015850770508,281.186756309766,6,8,8,8,8,8
AndoyaSpaceCenter,1941,291.740359162695,290.330061095703,289.483272542969,282.8094525625,282.457236978516,282.018521153125,7,7,7,7,7,7
AndoyaSpaceCenter,1942,289.262170923047,287.912495630859,287.299519946289,281.727653482422,281.54645834375,281.078856663477,8,8,8,7,7,7
AndoyaSpaceCenter,1943,289.176932103906,287.52449521582,286.407631461914,282.356302769531,281.673824549805,281.176872749609,7,7,7,8,8,8
AndoyaSpaceCenter,1944,287.409688758789,286.53073271582,285.652472219727,281.759344916016,281.142755201172,280.533559798438,8,8,8,8,8,7
AndoyaSpaceCenter,1945,289.839044603516,288.103608167969,287.584928496094,281.987618542969,281.181556638672,280.752909260547,7,7,7,8,8,8
AndoyaSpaceCenter,1946,289.522914716992,288.483459352539,287.849270664062,283.712870863281,283.451356849609,282.975697634961,7,7,7,8,7,7
AndoyaSpaceCenter,1947,289.827237701562,288.180346667969,287.395500978516,283.548700349609,283.050931921875,281.925959883008,7,7,7,8,8,8
AndoyaSpaceCenter,1948,288.302384138867,287.142103488281,286.524570430664,282.309205019531,282.011197832031,281.350020140234,7,7,7,7,7,7
AndoyaSpaceCenter,1949,287.100808468945,286.186190449219,285.588095756836,281.703862109375,281.324638856445,280.842613792969,7,9,9,8,8,8
AndoyaSpaceCenter,1950,289.83516427793,288.894305516602,288.265339489258,283.313333166016,283.019090763672,281.854404028516,8,8,8,8,8,8
AndoyaSpaceCenter,1951,289.657176870703,288.54862650293,287.863353794922,283.663222143555,283.194098644531,282.693062715625,8,8,8,8,8,8
AndoyaSpaceCenter,1952,287.190296624023,285.987791316406,285.406080327148,281.789628179687,281.382546423828,281.062259092969,6,7,7,7,7,7
AndoyaSpaceCenter,1953,290.608739908008,289.343301736328,288.709253824219,283.674943643555,283.378002530273,282.994369417969,8,8,8,8,8,8
AndoyaSpaceCenter,1954,290.550914810937,289.898638652344,289.438421761719,282.826062470703,282.259858423828,281.678275646484,7,7,7,8,8,8
AndoyaSpaceCenter,1955,287.667177456641,286.040025258789,285.617990637695,281.671975092773,281.165546279297,280.622599738281,7,8,8,9,9,9
AndoyaSpaceCenter,1956,289.481668198047,288.346190771484,287.32408809668,282.52150805957,282.014010304687,281.445196465625,7,7,7,7,7,7
AndoyaSpaceCenter,1957,290.297597811133,288.826668507812,288.019663554687,282.471935897461,282.150715286133,281.786588989648,7,7,7,8,8,8
AndoyaSpaceCenter,1958,287.926055698828,287.059409256836,286.725907948242,282.615348611328,282.209946334961,281.806732344531,8,8,8,8,8,8
AndoyaSpaceCenter,1959,289.490451196875,288.345234978516,286.938884146484,281.145183808594,280.894105499023,280.329956243164,7,7,7,8,7,8
AndoyaSpaceCenter,1960,290.973142479883,289.450200625976,288.851547806641,282.635725201172,281.592553347656,280.692559021484,7,7,7,8,8,7
AndoyaSpaceCenter,1961,289.462925904883,288.199601685547,287.152336182617,282.817942259766,282.288322948242,281.53715351875,8,8,8,8,8,7
AndoyaSpaceCenter,1962,287.514687999219,286.50985159668,285.996558554687,281.956862051758,281.665814967773,281.105541483594,8,8,8,8,8,8
AndoyaSpaceCenter,1963,288.605149855469,287.607392452148,287.334886550781,282.59413312793,282.320860978516,281.895765238086,8,8,8,8,8,8
AndoyaSpaceCenter,1964,289.451536107812,287.736066444336,286.711048498047,281.665349380859,281.01425724707,280.193604194531,7,7,7,7,7,7
AndoyaSpaceCenter,1965,287.132754664648,286.406324833984,285.831277998047,281.142047599609,280.784994808594,280.490801153906,8,8,8,8,8,8
