Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,7.71937021279011e-05,1,0.00295550722893053,0.00831489950592725,0.00148924107945219,0.898128706410046,0.0507628667358358,0.0177660379157412
2,0.235977981025903,0,0.119072786930569,0.00012964999319711,0.244508168102839,0.518804317878128,0.162912381096627,0.0586651603015363
3,5.5424667459737e-25,1,0.00160905156179252,0.00492740369013106,0.0616684169629071,0.233658536319571,0.168472312995202,0.625731469807778
4,1.30255237972112e-07,1,0.214301128797414,0.571192859654992,0.494158740807516,0.169770054173118,0.0364039217409748,0.628588340375043
5,2.13888678080513e-07,1,0.196433295093921,0.098939980664474,0.268363798041464,0.00636572297523729,0.0831505962511091,0.684989507959573
6,0.00134244259158277,1,1.53248234647261e-05,0.700613618355036,0.0379267130706665,0.0345194828875821,0.0364540439496666,0.00334275730047283
7,9.15563506152812e-26,1,0.00927222778135069,0.000201697372108326,1.37122140687809e-09,0.131158376425788,0.450572953035109,0.000656177176189969
8,2.44152592315582e-10,1,0.0238661358595882,0.631334536449812,0.0241137954023291,5.84673644601622e-05,0.00296167313871329,0.570820871268951
9,0.000122214466890031,1,0.841800385889233,2.84607343725832e-15,1.09234063280874e-18,2.43031654341156e-06,0.00406404814292528,0.551702928663121
10,3.74191239343119e-14,1,1.0153173352104e-05,6.5941021833261e-06,1.34827156375186e-09,0.732905143521544,0.8165765429818,0.25204957293113
11,2.68661531319408e-13,1,0.199793744692579,0.896056783466571,0.0751797928799107,0.78370281574791,0.0181883386528676,5.13682398834706e-07
12,2.74616403018307e-46,1,0.458670285186766,0.00185661441882016,0.000484018480594736,0.0183374149037937,0.000291676098823512,NaN
