City,Month,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99
ChinaLake,1,291.121762412109,288.057846818359,286.224769889648,273.42617178418,271.729065457031,268.152698369727
ChinaLake,2,294.350339546875,290.990620195313,288.950608935547,275.141665576172,273.544708447266,270.330321306641
ChinaLake,3,297.977202067578,294.611031856445,292.480508479492,277.508914271484,275.953575299805,273.466143810547
ChinaLake,4,302.553425007813,299.213162670898,297.132040185547,280.699050537109,278.897582548828,276.096803566406
ChinaLake,5,306.595069215039,303.648310266602,301.762566964844,285.104556485352,283.21374471875,280.314201442578
ChinaLake,6,311.216356005859,308.541226474609,306.653827182617,289.904475756836,288.02008640625,284.846868175781
ChinaLake,7,312.841124820312,310.574036446289,309.098843003906,294.059718045898,292.470326605469,289.930504825
ChinaLake,8,311.850582887695,309.591513475586,308.155701214844,293.029800604492,291.371180037109,288.769740689844
ChinaLake,9,309.283652615234,306.670352197266,305.010417578125,289.278399594727,287.622445844727,284.802999667969
ChinaLake,10,304.374989591992,300.994732481445,298.998945880859,283.475511777344,281.674114990234,278.47222722793
ChinaLake,11,296.832565605469,293.58892175293,291.526076469727,277.329154741211,275.669998085937,273.059478448242
ChinaLake,12,290.8244676,288.090751021484,286.339533256836,273.944809867187,272.326812845703,269.052658706641
