City,Month,t2m_24_1,t2m_24_5,t2m_24_10,t2m_24_90,t2m_24_95,t2m_24_99
ChinaLake,1,286.360236146773,284.930455637736,283.938692753337,275.114005990885,273.515117072917,269.7102838453
ChinaLake,2,289.11857542395,287.51533721578,286.412159649658,277.02140555603,275.6394502712,272.590543847249
ChinaLake,3,293.099864120858,290.906045374552,289.589486220622,279.499808766398,278.201499618978,276.129750777824
ChinaLake,4,297.183184695964,295.327839843953,293.961370854696,282.471310610962,281.148875714518,278.955091284668
ChinaLake,5,301.596765761605,299.55179262557,298.43198149349,287.257286098796,285.616592461873,283.548738908789
ChinaLake,6,305.748964469442,303.881992150269,302.847332880859,292.804983358561,291.324316488037,288.460367045451
ChinaLake,7,307.550478177995,305.935564957113,305.010597021769,298.302217672811,297.28138687203,295.59441811123
ChinaLake,8,306.13431142561,304.847379476196,304.150855008382,297.2268305153,295.990316410767,293.519538131755
ChinaLake,9,304.234120533691,302.231038924357,301.405403843384,292.659178906657,291.127843768514,288.400978679362
ChinaLake,10,299.215736289526,297.225484512166,296.004547621012,286.008344644694,284.172640336466,281.697757758577
ChinaLake,11,291.970163992106,290.106121149495,289.043974762777,279.361055395101,278.238386322225,275.653725448039
ChinaLake,12,286.174881194857,284.687562483358,283.848788413981,275.63880299235,274.091079315877,271.208707102743
