Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,2.99423486506079e-38,1,2.71287561002174e-07,0.171887086272989,1.2882806748546e-06,0.0211168110582335,0.150413054936844,0.0879918768816728
2,0.000355161015408095,1,0.155305089053296,1.33791976283338e-19,1.6067611128739e-30,2.84093403287316e-05,3.77387429474342e-06,0.00627007935246883
3,2.3094206454077e-23,1,0.0783796068803899,3.52611428370975e-05,6.86783891861626e-06,0.652636948218694,0.300565121022132,0.0717619938569348
4,3.40267428847788e-72,1,0.15530880196606,0.392887171661621,1.00065881898693e-07,0.00018968837109327,0.156597804342932,0.0831635715457406
5,7.93471012251219e-96,1,0.0604532907586766,0.643422198245333,0.56369908824287,5.58014132430537e-06,4.71446275161447e-06,NaN
6,1.23396147318991e-28,1,0.755335889393811,0.268424441964661,0.188162744064742,0.0226592414480006,0.0154369829772732,0.00435222934061147
7,2.0420674762506e-191,1,0.0234403393415924,0.0094146268590956,8.55872105831223e-05,3.66325640806282e-05,0.00139063377570356,NaN
8,5.13922227013083e-96,1,2.22503371545268e-06,2.80772846609337e-05,0.666717825984051,0.638337855648172,0.10621968941213,0.113898768595324
9,5.1022395799771e-148,1,0.00305183348413138,0.175470487582184,1.21572521958288e-05,0.0712887949330207,0.0390515527652803,0.00288033679026063
10,3.44122358397549e-114,1,0.503171524332042,0.28202847969453,0.191050860506837,0.017544398784543,0.539614304451983,0.12946969748543
11,1.40622909066215e-74,1,0.00170151463376616,0.00185999354364419,0.00016828665799212,0.135433687764006,0.316537643482682,0.00060931589519646
12,1.71851279911188e-46,1,0.074307541678762,0.459901793582941,0.203634335759841,0.160268980156751,0.0691815245474015,0.587349831653868
