City,Month,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99
DiegoGarciaIsland,1,301.408799994141,300.83811258457,300.531815296094,298.374961593359,298.143195371875,297.772637288281
DiegoGarciaIsland,2,301.715702598438,301.139804460938,300.823464027344,298.54338181543,298.318635057617,297.948933995703
DiegoGarciaIsland,3,301.923689279258,301.435498950977,301.127281908984,298.899581388281,298.646523633008,298.210150232383
DiegoGarciaIsland,4,301.986240201953,301.517451170898,301.258054563477,299.193300566406,298.93013878125,298.484624758984
DiegoGarciaIsland,5,301.691416003789,301.20728221875,300.931588773438,299.003303942969,298.748566943555,298.286755721328
DiegoGarciaIsland,6,301.077586253516,300.485555804687,300.19255202832,298.456172310547,298.214591054688,297.753561023047
DiegoGarciaIsland,7,300.458250856875,299.930165513672,299.681627541016,298.054916802148,297.840302232227,297.451539735039
DiegoGarciaIsland,8,300.171429065195,299.667415496875,299.447237119922,297.909835221094,297.717555958203,297.362303778438
DiegoGarciaIsland,9,300.522152770703,299.961223302734,299.670615625,297.96585278418,297.766095324219,297.390467330859
DiegoGarciaIsland,10,301.067886743984,300.452309413477,300.134183004297,298.195626839062,297.990461064844,297.628375304063
DiegoGarciaIsland,11,301.347652019531,300.788750361328,300.461589533203,298.359508798828,298.115861638672,297.726273545312
DiegoGarciaIsland,12,301.256409998359,300.761746739258,300.480534404297,298.428780509375,298.195582376172,297.810295885234
