City,Month,t2m_72_1,t2m_72_5,t2m_72_10,t2m_72_90,t2m_72_95,t2m_72_99
DiegoGarciaIsland,1,301.094834653581,300.463714408195,300.171614474072,298.751288857015,298.569265780322,298.244630499518
DiegoGarciaIsland,2,301.404912018587,300.752583549683,300.492971443834,298.905359176324,298.758813802395,298.517232175941
DiegoGarciaIsland,3,301.520587925362,301.112536062052,300.799558038507,299.280253979142,299.128062636952,298.807444440975
DiegoGarciaIsland,4,301.636563732056,301.205457422309,300.905833935655,299.621663381117,299.437248742405,299.172946333862
DiegoGarciaIsland,5,301.376782880621,300.957932055347,300.679579034638,299.358046459524,299.170166756559,298.7874095307
DiegoGarciaIsland,6,300.799503556494,300.347784345825,300.04466423017,298.719891583238,298.523954430203,298.139389507403
DiegoGarciaIsland,7,300.245316136585,299.749317347331,299.50602794212,298.278679362275,298.095267812367,297.756159628428
DiegoGarciaIsland,8,299.882739418205,299.46674017675,299.266627072407,298.108797723432,297.949430560861,297.739961146117
DiegoGarciaIsland,9,300.156002391157,299.648679949259,299.424753569458,298.184252120836,298.029524152276,297.713808366146
DiegoGarciaIsland,10,300.731803130741,300.078081532037,299.821181773386,298.479548184277,298.335209716916,298.092385486268
DiegoGarciaIsland,11,300.907515694138,300.499998525635,300.172664012139,298.675715426717,298.490536506022,298.178102540842
DiegoGarciaIsland,12,300.849601805199,300.380911097765,300.15301869713,298.815894085531,298.622852940183,298.292848461559
