City,Month,t2m_6_1,t2m_6_5,t2m_6_10,t2m_6_90,t2m_6_95,t2m_6_99
DiegoGarciaIsland,1,301.351038140853,300.773062242106,300.470647183398,298.477098838997,298.266513610872,297.910405399193
DiegoGarciaIsland,2,301.672415666732,301.095555874837,300.767568241211,298.655281357585,298.452353121094,298.120636372917
DiegoGarciaIsland,3,301.874684179232,301.381288373828,301.072780652311,299.008474216341,298.775448883659,298.399985972546
DiegoGarciaIsland,4,301.934799879004,301.467015387044,301.205134819173,299.2993266875,299.077328519857,298.687586627507
DiegoGarciaIsland,5,301.645477985143,301.168026514844,300.891714870182,299.080338487891,298.847273612337,298.404796328665
DiegoGarciaIsland,6,301.02897723099,300.454143281901,300.162311985677,298.51320623291,298.290662880859,297.829316390755
DiegoGarciaIsland,7,300.412590739382,299.895165488249,299.647370429557,298.105654329525,297.901393670996,297.536816652884
DiegoGarciaIsland,8,300.132145108672,299.630385720605,299.416832551725,297.949568890625,297.769028262598,297.438938089635
DiegoGarciaIsland,9,300.478195831641,299.911598665365,299.631492983724,298.017962337891,297.831526290039,297.465182435352
DiegoGarciaIsland,10,301.024666595879,300.41038897819,300.083502060872,298.258500811556,298.065800372852,297.745177296426
DiegoGarciaIsland,11,301.287549860417,300.74549394987,300.41093229834,298.427041115885,298.215587049642,297.844172201009
DiegoGarciaIsland,12,301.204729533464,300.706354447038,300.417014773437,298.528823310352,298.317409612923,297.955917760723
