City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
DiegoGarciaIsland,1940,301.184976700391,300.955951348047,300.838881130469,299.167287481445,298.954171683594,298.572795494141,4,5,5,4,4,4
DiegoGarciaIsland,1941,301.616982827813,301.200246833008,301.073272759766,299.355278789062,299.059094306641,298.719099954687,3,4,4,4,4,4
DiegoGarciaIsland,1942,301.08497539082,300.738250930664,300.554600828125,298.716869669922,298.542339363281,298.328326750781,5,4,4,4,4,5
DiegoGarciaIsland,1943,300.761798088516,300.542380399023,300.333730980664,298.47352304668,298.266587963086,297.922678694219,1,1,1,5,5,5
DiegoGarciaIsland,1944,301.426432188281,301.067948467383,300.92712566875,298.897702808594,298.683732373047,298.273771132461,4,2,2,4,4,5
DiegoGarciaIsland,1945,301.021710093672,300.762729458984,300.538128480469,298.81940430332,298.567163897266,298.118353909922,3,3,3,5,5,5
DiegoGarciaIsland,1946,301.675315604297,301.338369746094,301.1810105,299.158153732422,298.85101134082,298.4858393,4,4,4,4,4,4
DiegoGarciaIsland,1947,301.4806952175,301.206907892187,300.986211680664,299.139760966797,298.878635053711,298.446516591211,2,2,2,4,4,4
DiegoGarciaIsland,1948,301.497093129102,301.337001176758,301.117492123047,299.362416423828,299.137986216797,298.700128537109,4,4,4,4,4,4
DiegoGarciaIsland,1949,301.327163426953,301.086106790039,300.943579668945,299.239967335937,298.954755974609,298.663425739648,4,4,4,3,4,4
DiegoGarciaIsland,1950,301.615931336719,301.423548349609,301.192953424805,299.278139595703,299.057144937891,298.657109315117,4,4,4,3,3,3
DiegoGarciaIsland,1951,301.235579094531,301.006713085937,300.859993170898,299.253569910742,298.992781813672,298.554826143398,11,11,11,3,3,3
DiegoGarciaIsland,1952,301.888858262813,301.648837428906,301.446498424805,299.573696734961,299.305618759766,298.760361432461,2,2,2,3,3,2
DiegoGarciaIsland,1953,301.765891029492,301.479524879883,301.323438276367,299.52684346582,299.216797515625,298.607573919727,4,4,4,4,4,4
DiegoGarciaIsland,1954,301.369441066797,301.009808667969,300.881735001953,299.166468263672,298.956715398437,298.662625796875,1,4,4,4,4,4
DiegoGarciaIsland,1955,301.551397519805,301.198637838672,300.738775730859,298.779902300781,298.594210614258,298.301483569531,2,2,2,4,4,4
DiegoGarciaIsland,1956,301.393655571484,301.207539166016,301.057199149414,299.063837735352,298.782602671875,298.535662856641,4,4,4,4,4,4
DiegoGarciaIsland,1957,301.311861246445,300.942142635352,300.75459292207,299.092965777344,298.900722015625,298.581627826719,1,5,5,4,4,5
DiegoGarciaIsland,1958,301.580159905664,301.380594379883,301.231048665039,299.575855086914,299.234594400391,298.834916310547,4,4,4,4,4,4
DiegoGarciaIsland,1959,301.588500224023,301.348930155273,301.204952326172,299.303672921875,299.082101072266,298.814320128906,4,4,4,4,4,4
DiegoGarciaIsland,1960,301.321465251953,300.961870337891,300.806012949219,299.222316521484,299.027801234375,298.685345306836,4,4,4,4,4,4
DiegoGarciaIsland,1961,301.447343838867,301.168884138672,300.956447970703,299.169729331055,299.012420564453,298.832651393164,4,4,4,4,4,4
DiegoGarciaIsland,1962,301.476126464258,301.193975974609,301.031744582031,299.217054069336,299.00802221875,298.674600976562,4,4,4,4,4,4
DiegoGarciaIsland,1963,301.230454736328,301.023172880859,300.89115234668,299.188120597656,298.907432479492,298.582432201758,4,4,4,4,4,4
DiegoGarciaIsland,1964,301.792729683125,301.318053655273,301.102946761719,299.321530025391,299.123553369141,298.782122955469,5,4,4,4,4,4
