Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,1.75249030252406e-07,1,9.91104364546782e-06,3.04824112389384e-18,2.48591304386212e-06,0.00049173089985218,0.000919405462756448,0.555192760051578
2,1.52202882929313e-38,1,0.925491285062522,0.648294153632939,7.45435428019633e-05,8.558209466087e-36,1.17407402787574e-43,5.59788398901306e-57
3,5.12036625073724e-44,1,5.71446225911494e-15,1.2951452747429e-07,1.90876225331708e-12,2.16702566777329e-15,5.78186271981318e-29,3.71968061452839e-36
4,1.01195069131911e-30,1,0.320880995704957,0.505392708449275,0.00332504012635893,7.0394952511668e-10,6.0245015144183e-18,2.21048569679199e-32
5,1.5773317678719e-45,1,2.9499919369306e-06,7.16431757874261e-07,1.29351254303292e-09,3.2694729273585e-38,7.7483230837666e-40,1.04685896037594e-62
6,4.48387768526593e-61,1,2.26677552842193e-06,6.85587388958413e-13,2.82088117662973e-07,3.99604589089468e-58,1.87405673031205e-47,9.18229692183754e-42
7,4.45674340890464e-128,1,5.70405079867219e-11,0.594528084544533,0.032334191917161,5.02898973107464e-98,4.3213870589335e-114,4.45243074450171e-133
8,9.08044104234306e-131,1,0.0941869062377878,0.0107935086092697,5.13283156850344e-12,6.72379016413951e-109,2.11179887073104e-104,1.22544004347318e-123
9,3.50549280491732e-23,1,0.301711075145741,0.00394674822458437,0.0683654494390629,3.32291715109701e-10,0.0512039173291714,0.337758753328247
10,3.7919296141778e-59,1,NaN,NaN,1.36661133262642e-21,5.40243974700409e-26,2.18123009581303e-25,8.18339111875188e-19
11,7.7863400560051e-118,1,0.356038359447156,0.16432344257262,2.50235377792166e-15,4.11318433029161e-90,1.91785256696775e-88,5.10352100020533e-72
12,7.64338333333068e-08,1,NaN,4.54719502827915e-09,7.4373026594563e-08,0.208642837173052,0.151733507809894,0.00028872597191523
