City,Month,t2m_72_1,t2m_72_5,t2m_72_10,t2m_72_90,t2m_72_95,t2m_72_99
EglinAFB,1,293.065396682518,291.28395295413,290.014622884549,278.771772988004,277.144497385152,274.280956648152
EglinAFB,2,293.548647846414,291.812623680298,290.841831056424,280.689858846761,279.354015860826,276.584178108583
EglinAFB,3,295.215067846344,293.979346049145,293.153218809863,284.422989001714,282.764798441743,280.215927882473
EglinAFB,4,296.930543033917,296.091762760729,295.523844159139,289.21295370737,288.106369580214,285.889117502881
EglinAFB,5,300.611152518391,299.393348149165,298.842933381,293.962412677821,293.15116589219,291.356287505177
EglinAFB,6,303.189172051682,301.907575545953,301.390329717773,297.991088703057,297.436299599609,296.016410830379
EglinAFB,7,303.188507494926,302.360819514711,302.01441748262,299.212845407737,298.839186204359,298.060770664793
EglinAFB,8,303.214761702592,302.340879300678,301.913496529829,299.083339518129,298.689033755656,297.946767010466
EglinAFB,9,301.870171682514,301.146923556329,300.799948879612,296.553032733697,295.411683620321,293.205825176579
EglinAFB,10,300.006736774921,298.776767720923,298.011207930903,290.099576200252,288.818947762961,286.561701128418
EglinAFB,11,296.596018047225,294.890193174099,293.888130994548,284.547542078735,283.087874726223,280.685488852973
EglinAFB,12,294.053282483695,292.033954783496,291.121767617304,280.72487045485,279.196367326535,276.643640125064
