City,Month,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99
EglinAFB,1,294.673238798125,292.806143365625,291.508902610352,276.852635806055,274.777297158203,270.919947659687
EglinAFB,2,295.304804536133,293.459806650391,292.331021969727,278.850035882812,276.95718440332,273.306081632226
EglinAFB,3,297.500898785117,295.618807189063,294.560299719531,282.545705913281,280.4968712,277.12228361125
EglinAFB,4,299.75443274043,298.129371243164,297.179251595703,287.566652916016,285.642808726562,282.550713629492
EglinAFB,5,303.592689602188,301.658509851953,300.729735759961,292.764565195313,291.190033873828,288.189059968008
EglinAFB,6,306.053604012695,304.159155460938,303.179401001953,296.764993259766,295.972175238281,293.97708704043
EglinAFB,7,306.145033338594,304.59161497832,303.692406509375,297.948257682422,297.438023464062,296.528733389297
EglinAFB,8,306.022766343945,304.515873091211,303.666821292383,297.711332555273,297.145681626367,295.806740275742
EglinAFB,9,304.910721146875,303.343673133789,302.421219526367,295.010185554687,293.519292972656,290.315977074023
EglinAFB,10,302.181487076953,300.302784664063,299.185057555469,288.082004035351,286.13330360918,282.795299331094
EglinAFB,11,298.219303200195,296.383653927734,295.202355999023,282.114500427734,280.233811445312,277.003053862695
EglinAFB,12,295.736276463047,293.913577831641,292.635090380469,278.599853790625,276.737272071289,273.110260857773
