City,Month,t2m_6_1,t2m_6_5,t2m_6_10,t2m_6_90,t2m_6_95,t2m_6_99
EglinAFB,1,294.395642951104,292.656210957796,291.393687247982,276.996266074674,275.013363926221,271.215558674622
EglinAFB,2,294.966993266537,293.244721260254,292.155989071777,279.071107830404,277.188704563314,273.669828157292
EglinAFB,3,297.03860628599,295.307170002376,294.328933196777,282.841124438802,280.816259308138,277.451371222546
EglinAFB,4,299.252777074675,297.741053848796,296.87146346582,287.891494855631,286.050856350098,283.025120592025
EglinAFB,5,303.042130583737,301.261565506185,300.359599317871,293.050050135221,291.586800199805,288.623452760697
EglinAFB,6,305.526814133984,303.741670447754,302.837840715007,297.014787194173,296.292755907878,294.410340666569
EglinAFB,7,305.665326281966,304.167225879688,303.343945294889,298.189376346517,297.714447057031,296.846110495677
EglinAFB,8,305.519552320052,304.094995760742,303.302124683919,297.973448854915,297.455734161751,296.200020939173
EglinAFB,9,304.353352833757,302.922649835287,302.068431107422,295.273708716634,293.798711030599,290.674322370866
EglinAFB,10,301.713525309694,299.92107462653,298.911981476855,288.369760702344,286.536693587858,283.359395065651
EglinAFB,11,297.82262530931,296.094326656576,294.992907281738,282.366341670736,280.551914238118,277.412903320377
EglinAFB,12,295.468223318744,293.687459231152,292.493955643327,278.837972173209,276.991295067643,273.459685069108
