City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
EglinAFB,1940,305.398196373437,304.22659584375,303.244547579102,297.946583210351,297.460040490039,296.382634645508,9,7,9,8,8,7
EglinAFB,1941,305.571941233984,304.55538270293,303.711594328516,298.911988674023,298.567303823242,297.952358770195,8,8,8,8,8,8
EglinAFB,1942,308.218081743203,306.413215061914,304.961532128906,298.075626667187,297.676299729883,296.950264964687,7,7,7,8,7,7
EglinAFB,1943,307.973238632188,306.030054307227,304.875372443945,299.072140875195,298.486162014453,297.685499094141,8,8,8,8,8,7
EglinAFB,1944,309.686609822266,308.334826246094,306.894381680664,298.237764604297,297.935040830664,297.468400111211,6,6,6,8,8,8
EglinAFB,1945,305.779860661641,304.033476083984,303.160080847656,297.523972124609,297.124280648828,296.539140218437,5,6,6,8,8,7
EglinAFB,1946,305.161250188477,303.819812569141,303.084008188672,297.585453732031,297.319012204492,296.942940653984,8,8,8,7,7,7
EglinAFB,1947,306.957971772617,305.026545093164,303.529117198828,297.620626625195,297.170241682617,296.642087368281,8,8,8,8,8,8
EglinAFB,1948,304.789188782656,303.949124515234,303.082717354102,297.755338654297,297.4692529,297.009082020078,7,8,8,7,7,7
EglinAFB,1949,305.322277468711,303.917911654492,303.117765831641,297.966474759766,297.631115814062,297.124292078945,7,8,8,7,7,7
EglinAFB,1950,307.456507599609,305.432096052734,304.040190837891,297.225859571094,296.808535010937,296.150415787109,6,6,6,7,8,8
EglinAFB,1951,305.87311565832,304.960621893164,304.228927857227,298.854966418945,298.366110201367,297.515399658047,8,8,8,8,8,8
EglinAFB,1952,307.889214345898,306.10908440918,305.01964875,298.611177427344,298.201701064844,297.375959821211,6,6,6,7,7,7
EglinAFB,1953,307.257243162891,304.681094676758,303.667825724609,298.097508753906,297.64697340625,297.119501106641,6,8,6,6,6,6
EglinAFB,1954,308.732120525,306.450644216016,305.371583959766,299.084806586914,298.766439706641,298.104649025312,6,8,8,8,8,8
EglinAFB,1955,305.958344804219,304.432333520703,303.835329238281,297.657674133984,297.313684506445,296.780967097813,8,8,8,7,7,7
EglinAFB,1956,306.037696315234,304.475492801563,303.211154485547,297.861596689844,297.098523226172,296.258254983516,8,8,8,8,7,7
EglinAFB,1957,306.719371849063,305.223675556836,304.229264627734,298.309415048633,297.827144358594,297.286455798984,7,7,7,7,7,7
EglinAFB,1958,305.144532437109,304.128001035156,303.536017327148,298.002682752734,297.485190669922,296.478567671133,8,8,8,7,7,7
EglinAFB,1959,305.165464730664,303.308854553906,302.864250990234,297.489497199414,297.120128948828,296.552515599727,6,8,8,7,7,8
