City,Year,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99,Month_1,Month_5,Month_10,Month_90,Month_95,Month_99
FortGreely,1940,297.63004816543,295.008264326172,293.748887836914,284.323653450195,283.555206759766,281.515370546484,7,7,7,7,7,7
FortGreely,1941,293.744367822266,291.253240351563,290.371452850586,281.492136810547,280.892205210938,279.347159396484,6,6,8,7,8,8
FortGreely,1942,292.741722138672,290.367552949219,289.315833686523,282.223315258789,281.734912585938,281.105610561523,6,6,7,7,7,7
FortGreely,1943,293.382869847852,291.286897441406,290.325426069336,282.449836060547,282.009869419922,280.91133646543,8,6,6,7,7,7
FortGreely,1944,295.176611236523,293.261524199219,291.692558733398,283.668136019531,282.712139667969,280.870307591992,7,7,7,7,7,7
FortGreely,1945,292.781521305664,290.944494068359,289.989986816406,281.791715353516,280.564904417969,279.243201170898,7,7,7,7,7,7
FortGreely,1946,296.931946783789,294.44488678125,292.806271112305,282.94924246582,282.030361099609,280.137352323242,7,7,7,6,7,6
FortGreely,1947,296.031672722266,294.579118119141,293.181782646484,282.826936287109,281.511479658203,279.437711346875,7,7,7,7,7,7
FortGreely,1948,298.371008974609,294.417887523438,293.610403000977,281.640097378906,280.529578105469,279.20664475957,6,7,7,7,7,7
FortGreely,1949,297.553877024023,293.585590248047,292.222871710938,282.046056548828,280.918944198242,277.705035550586,8,7,7,7,7,8
FortGreely,1950,299.729663017578,295.593730756836,294.171803173828,282.968993075195,282.026856460938,280.762798669141,6,8,8,7,7,7
FortGreely,1951,299.569387066016,297.056885348633,294.998503798828,282.755596273438,281.741739128906,280.405067280469,7,7,7,7,7,7
FortGreely,1952,296.588718868359,295.430041931641,292.608917056641,282.417723773438,281.788719978516,281.093296515625,7,7,7,7,7,7
FortGreely,1953,299.369191222656,297.686032885742,295.103871413086,282.769240626953,281.916961104492,280.460183605469,7,7,7,7,7,6
FortGreely,1954,297.923247993555,294.609834095703,292.825179742188,281.11607250293,280.041480339844,277.828467388672,8,8,8,7,7,6
FortGreely,1955,301.03553051875,298.137706876953,295.250562918945,282.201050682617,280.867201214844,279.484881716992,7,7,7,7,7,7
FortGreely,1956,298.516402321094,296.429455514648,294.143200314453,282.763404512695,281.26014793457,278.864436025391,7,7,7,7,7,7
FortGreely,1957,299.131772086914,297.752193803711,295.364768378906,282.393793574219,281.041070911133,279.699523438672,6,6,6,6,8,8
FortGreely,1958,300.607076782031,297.525784544922,295.465712182617,284.000935037109,282.432807509766,280.588894364648,7,7,6,7,7,7
FortGreely,1959,297.165037464844,295.492952319336,293.870384658203,280.319019628906,278.873029775391,276.924370729883,6,6,6,6,6,7
FortGreely,1960,298.342103529297,295.859849675781,293.214519148438,282.160308732422,280.794291625977,278.631363878125,5,7,7,7,7,7
FortGreely,1961,297.300254917969,294.863161920899,293.297256283203,281.905878455078,280.805858212891,278.93719083418,7,7,7,7,7,7
FortGreely,1962,297.979006410156,295.269601714844,293.930343929688,283.15323387207,281.490903223633,278.29027082832,8,7,7,7,7,7
FortGreely,1963,296.684737789648,294.310543417969,292.608596505859,281.584340779297,280.744268919922,279.261323989844,8,7,8,7,7,7
FortGreely,1964,295.019569208008,293.373965288086,291.772692338867,282.262898855469,281.543722472656,279.208687260547,6,6,6,7,7,7
FortGreely,1965,296.491488383789,294.240804966797,292.740788311523,281.185800711914,280.420370041016,278.210572914844,7,7,7,7,7,7
FortGreely,1966,296.081828198242,294.044126249023,293.158052529297,281.832594290039,280.366049068359,278.630255769922,8,7,7,7,7,7
FortGreely,1967,299.10654506543,296.041426015625,293.464640429688,282.184713889648,281.411020355469,280.361359481445,6,6,6,7,7,7
FortGreely,1968,298.392326351758,296.60930987793,295.509536435547,283.637987832031,282.867629916992,282.056671944531,7,7,7,7,7,7
FortGreely,1969,302.472346634766,298.690604140625,297.385075366211,282.383268354492,280.386092138672,278.361389533203,6,6,6,6,6,6
FortGreely,1970,296.548484478906,294.038844264648,292.246303287109,282.748287479492,281.886597246094,280.558223914844,7,7,7,7,7,7
FortGreely,1971,298.543516229492,296.086403388672,294.709075253906,281.102375921875,279.880597382813,277.02614998457,6,6,6,7,7,8
FortGreely,1972,297.797998345703,296.670920128906,295.080622827148,283.335858243164,282.557106962891,281.677835622461,7,7,7,7,7,7
FortGreely,1973,297.750040228125,294.775828270508,293.305916354492,283.524715173828,282.731049285156,281.417651101563,7,7,7,7,7,7
FortGreely,1974,296.646322210938,294.189672496094,292.841537959961,283.025559564453,281.818974292969,280.316805864453,7,7,7,7,7,7
FortGreely,1975,299.794732975391,296.753043261719,294.684295845703,284.029243772461,282.573629208008,279.149768201172,7,7,7,7,7,6
