City,Month,t2m_1,t2m_5,t2m_10,t2m_90,t2m_95,t2m_99
FortGreely,1,271.89782888457,267.737638760742,264.993301660156,238.327757941895,235.049994364746,231.137269033789
FortGreely,2,274.663038874609,271.355561743164,268.749150243164,243.344594827148,239.597157133301,234.653054934082
FortGreely,3,277.211078854492,274.262261814453,272.236857021484,249.538905636719,246.293810099609,241.243992045117
FortGreely,4,283.032079205078,279.50809859375,277.976004707031,262.641922094727,259.001646489258,253.583128588379
FortGreely,5,291.294871201367,287.734260598633,285.89525165625,273.277828287109,271.449833629883,266.332220022266
FortGreely,6,297.287941661133,293.559853037109,291.624116118164,280.064853085938,278.754341132812,276.397569308594
FortGreely,7,297.622595929297,294.696229921875,292.97015240332,282.357079014648,281.222645300781,278.846089660547
FortGreely,8,295.853537149609,292.4551375625,290.502322035156,279.208611832031,277.496414467773,274.378663587695
FortGreely,9,290.231459087891,286.901646728516,285.31052152832,271.653508852539,269.544952133789,265.644510982422
FortGreely,10,281.818009941406,278.320726537109,276.367415311523,259.623757458984,256.069603358643,250.230221555078
FortGreely,11,275.550690935547,271.710954179688,269.345967734375,246.054393603516,243.233763029785,238.189974521973
FortGreely,12,271.724149030469,268.00457087793,265.479768347656,239.531413708984,236.45842679834,231.387425715137
