City,Month,t2m_6_1,t2m_6_5,t2m_6_10,t2m_6_90,t2m_6_95,t2m_6_99
FortGreely,1,271.802335462484,267.706071393473,264.893052219076,238.286555681315,235.170480242228,231.226727853418
FortGreely,2,274.553151300977,271.258669518392,268.580680520508,243.389103867188,239.753881454427,234.943955574137
FortGreely,3,276.643994513867,273.91736591862,271.945098366374,249.742174145833,246.547553090739,241.533065916992
FortGreely,4,282.422799670247,279.071820459798,277.584793266602,262.800448225911,259.185620933431,253.910703447266
FortGreely,5,290.632848821615,287.26607337972,285.51398953776,273.581276578125,271.77589785498,266.698551041927
FortGreely,6,296.810416468913,293.136008793132,291.290034749349,280.400895561523,279.148569768066,276.96345783138
FortGreely,7,297.091703803353,294.290340548503,292.610076065104,282.706681092773,281.60501127832,279.205495292936
FortGreely,8,295.227133942839,292.018330125814,290.159580534342,279.521319074382,277.846718587402,274.77159338099
FortGreely,9,289.748113969076,286.62648890625,284.964371599935,271.851488649089,269.821945850423,265.90355222168
FortGreely,10,281.63083187015,278.16505649707,276.214708942383,259.765112871745,256.340464268962,250.685221956413
FortGreely,11,275.391562405599,271.676858548177,269.32612480957,246.158863470052,243.342998443604,238.469821675781
FortGreely,12,271.658994055957,267.902536441406,265.393942028158,239.587756627686,236.595028074707,231.380332927327
